IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_NAME;IE_CODE;IE_PREVIEW_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;прямые;265-003010 CONE PLUS;265-003010-cone-plus;Абатмент прямой 0°, ;25_5_978.jpg;25_5_978.jpg
BoneTrust;абатменты;прямые;166-305000 HEX PLUS;166-305000-hex-plus;CAD/CAM титановая основа HEX 0° для Cerec, ;43_91_398.jpg;43_91_398.jpg
BoneTrust;абатменты;прямые;165-344052 CONE PLUS;165-344052-cone-plus;Direct Waxing Sleeve castable 3.4/4.0;38.jpg;38.jpg
BoneTrust;абатменты;прямые;165-344051 CONE PLUS;165-344051-cone-plus;AuroBase прямой абатмент с фиксирующим винтом, вид сплава NEM, ;37_15_202.jpg;37_15_202.jpg
BoneTrust;абатменты;прямые;165-344050 CONE PLUS;165-344050-cone-plus;AuroBase прямой абатмент с фиксирующим винтом, вид сплава HSL, ;37.jpg;37.jpg
BoneTrust;абатменты;прямые;165-203440 CONE PLUS;165-203440-cone-plus;База сканирования для прямого абатмента, ;33_23_505.png;33_23_505.png
BoneTrust;абатменты;прямые;165-203030 CONE PLUS;165-203030-cone-plus;База сканирования для прямого абатмента, ;33.png;33.png
BoneTrust;абатменты;прямые;165-161000 HEX PLUS;165-161000-hex-plus;Locky Lock абатмент прямой, комплект из 4 шт, включающий набор из 4 матриц, ;31.jpg;31.jpg
BoneTrust;абатменты;прямые;165-053015 HEX PLUS;165-053015-hex-plus;Auro Base прямой абатмент с фиксирующим винтом, вид сплава NEM, ;26_4_695.jpg;26_4_695.jpg
BoneTrust;абатменты;прямые;165-003015 HEX PLUS;165-003015-hex-plus;Auro Base прямой абатмент с фиксирующим винтом, вид сплава HSL, ;26.jpg;26.jpg
BoneTrust;абатменты;прямые;165-003010 HEX PLUS;165-003010-hex-plus;Абатмент прямой, высота десны 1.0, 0°, ;25.jpg;25.jpg
BoneTrust;абатменты;прямые;165-170000 Cone Plus;165-170000-cone-plus;Прямой формирователь десны, комплект из 4 шт.;32.jpg;32.jpg
BoneTrust;абатменты;прямые;165-153440 Cone Plus;165-153440-cone-plus;Трансфер слепочный по технологии „Репозиционирование“ с колпачком и фискирующим винтом;30.jpg;30.jpg
BoneTrust;абатменты;прямые;165-103440 Cone Plus;165-103440-cone-plus;Прямой операционный слепочный трансфер с винтом;29.jpg;29.jpg
BoneTrust;абатменты;прямые;165-344000 Cone Plus;165-344000-cone-plus;Лабораторный аналог прямого абатмента;36.jpg;36.jpg
BoneTrust;абатменты;прямые;165-303420 Cone Plus;165-303420-cone-plus;Абатмент конический магнитный 30°, ;35.jpg;35.jpg
BoneTrust;абатменты;прямые;165-203420 Cone Plus;165-203420-cone-plus;Абатмент конический магнитный 20°, ;34.jpg;34.jpg
BoneTrust;абатменты;прямые;165-003430 Cone Plus;165-003430-cone-plus;Абатмент конический магнитный 0°, ;27_36_630.jpg;27_36_630.jpg
BoneTrust;абатменты;прямые;165-003410 Cone Plus;165-003410-cone-plus;Абатмент конический магнитный 0°, ;27.jpg;27.jpg
BoneTrust;абатменты;прямые;165-003400 Cone Plus;165-003400-cone-plus;Титановое основание Direct, 3.4/4.0 мм;24_49_909.png;24_49_909.png
BoneTrust;абатменты;прямые;165-003000 Cone Plus;165-003000-cone-plus;Титановое основание Direct, 3.0 мм;24.png;24.png
BoneTrust;абатменты;прямые;165-344055 Cone Plus;165-344055-cone-plus;Винт фиксирующий операционный прямой;39.jpg;39.jpg
BoneTrust;абатменты;прямые;265-003410 cone Plus;265-003410-cone-plus;Абатмент эстетический 0°, ;27_(1).jpg;27_(1).jpg
BoneTrust;абатменты;прямые;265-303420 cone Plus;265-303420-cone-plus;Абатмент конический магнитный 30°, ;35_22_481.jpg;35_22_481.jpg
BoneTrust;абатменты;прямые;265-203420 cone Plus;265-203420-cone-plus;Абатмент конический магнитный 20°, ;34_39_521.jpg;34_39_521.jpg
BoneTrust;абатменты;эстетические;265-003430 CONE PLUS;265-003430-cone-plus;Абатмент прямой 0°, ;27_95_564.jpg;27_95_564.jpg
BoneTrust;абатменты;эстетические;261-344050 CONE PLUS;261-344050-cone-plus;Абатмент Lucky Lock с набором матриц из 4 элементов, высота десны 5 мм, ;114.png;114.png
BoneTrust;абатменты;эстетические;261-344040 CONE PLUS;261-344040-cone-plus;Абатмент Lucky Lock с набором матриц из 4 элементов, высота десны 4 мм, ;113.png;113.png
BoneTrust;абатменты;эстетические;261-344020 CONE PLUS;261-344020-cone-plus;Абатмент Lucky Lock с набором матриц из 4 элементов, высота десны 2 мм, ;111_41_468.png;111_41_468.png
BoneTrust;абатменты;эстетические;261-344010 CONE PLUS;261-344010-cone-plus;Абатмент Lucky Lock с набором матриц из 4 элементов, высота десны 1 мм, ;110.png;110.png
BoneTrust;абатменты;эстетические;261-303030 CONE PLUS;261-303030-cone-plus;Абатмент Lucky Lock с набором матриц из 4 элементов, высота десны 3 мм, ;109.png;109.png
BoneTrust;абатменты;эстетические;261-303010 CONE PLUS;261-303010-cone-plus;Абатмент Lucky Lock с набором матриц из 4 элементов, высота десны 1 мм, ;108.png;108.png
BoneTrust;абатменты;эстетические;260-155005 CONE PLUS;260-155005-cone-plus;Абатмент эстетический 15°, ;104_82_527.png;104_82_527.png
BoneTrust;абатменты;эстетические;260-154005 CONE PLUS;260-154005-cone-plus;Абатмент эстетический 20°, ;104_29_332.png;104_29_332.png
BoneTrust;абатменты;эстетические;260-153405 CONE PLUS;260-153405-cone-plus;Абатмент эстетический 15°, ;104_49_852.png;104_49_852.png
BoneTrust;абатменты;эстетические;260-153005 CONE PLUS;260-153005-cone-plus;Абатмент эстетический 15°, ;104_46_873.png;104_46_873.png
BoneTrust;абатменты;эстетические;260-005005 CONE PLUS;260-005005-cone-plus;Абатмент эстетический 0°, ;102_4_8.png;102_4_8.png
BoneTrust;абатменты;эстетические;260-004005 CONE PLUS;260-004005-cone-plus;Абатмент эстетический 0°, ;102.png;102.png
BoneTrust;абатменты;эстетические;260-003405 CONE PLUS;260-003405-cone-plus;Абатмент эстетический 0°, ;100_68_51.png;100_68_51.png
BoneTrust;абатменты;эстетические;260-003005 CONE PLUS;260-003005-cone-plus;Абатмент эстетический 0°, ;100.png;100.png
