IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;заживляющие;20680;170-003470 Hex Plus;170-003470-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны,  3.4 мм/скос 7.0 мм;;/upload/photo/61.jpg;/upload/photo/61.jpg
BoneTrust;абатменты;заживляющие;20679;170-003450 Hex Plus;170-003450-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/60_converted.jpg;/upload/photo/60_converted.jpg
BoneTrust;абатменты;заживляющие;20678;170-003430 Hex Plus;170-003430-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/59_95_926.jpg;/upload/photo/59_95_926.jpg
BoneTrust;абатменты;заживляющие;20677;170-003415 Hex Plus;170-003415-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/58_99_297.jpg;/upload/photo/58_99_297.jpg
BoneTrust;абатменты;заживляющие;20676;170-003050 Hex Plus;170-003050-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/57.png;/upload/photo/57.png
BoneTrust;абатменты;заживляющие;20675;170-003030 Hex Plus;170-003030-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/56.png;/upload/photo/56.png
BoneTrust;абатменты;заживляющие;20674;170-003015 Hex Plus;170-003015-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/55.png;/upload/photo/55.png
BoneTrust;абатменты;заживляющие;20623;170-WB5050 Hex Plus;170-wb5050-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/65_75_164.jpg;/upload/photo/65_75_164.jpg
BoneTrust;абатменты;заживляющие;20622;170-WB5030 Hex Plus;170-wb5030-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/64_83_992.jpg;/upload/photo/64_83_992.jpg
BoneTrust;абатменты;заживляющие;20621;170-WB3450 Hex Plus;170-wb3450-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/65.jpg;/upload/photo/65.jpg
BoneTrust;абатменты;заживляющие;20620;170-WB3430 Hex Plus;170-wb3430-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/64.jpg;/upload/photo/64.jpg
BoneTrust;абатменты;заживляющие;20615;170-103450 Hex Plus;170-103450-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны Switzerland, ;;/upload/photo/63.png;/upload/photo/63.png
